instrument,quantity,signal,entry_price,exit_price,stop_loss,target_price,pnl_points,pnl_amount,result,entry_time,exit_time
NIFTY,65,BUY,11704.95,11690.8,11667.569280000002,11761.021079999999,-14.150000000001455,-919.7500000000946,TIME EXIT,2020-02-03 14:30:00,2020-02-03 15:10:00
NIFTY,65,BUY,11835.1,11909.3,11696.542,12042.937000000002,74.19999999999891,4822.999999999929,MACD EXIT,2020-02-04 09:25:00,2020-02-04 11:10:00
NIFTY,65,BUY,11975.7,11963.55,11934.584787461697,12037.372818807456,-12.150000000001455,-789.7500000000946,MACD EXIT,2020-02-04 13:50:00,2020-02-04 14:05:00
NIFTY,65,BUY,12006.7,12043.2,11955.161999999998,12084.007000000005,36.5,2372.5,MACD EXIT,2020-02-05 09:25:00,2020-02-05 10:55:00
NIFTY,65,BUY,12021.55,12011.8,12002.227601075734,12050.533598386397,-9.75,-633.75,EMA EXIT,2020-02-05 13:20:00,2020-02-05 13:35:00
NIFTY,65,BUY,12021.2,12040.200442371595,12008.533038418938,12040.200442371595,19.000442371594545,1235.0287541536454,WIN,2020-02-05 13:40:00,2020-02-05 13:55:00
NIFTY,65,BUY,12046.05,12089.956768742504,12016.77882083833,12089.956768742504,43.90676874250494,2853.939968262821,WIN,2020-02-05 14:00:00,2020-02-05 14:30:00
NIFTY,65,BUY,12084.45,12084.7,12061.092980015947,12119.485529976082,0.25,16.25,TIME EXIT,2020-02-05 14:35:00,2020-02-05 15:10:00
NIFTY,65,BUY,12146.1,12141.0,12088.304126208,12232.793810688,-5.100000000000364,-331.50000000002365,MACD EXIT,2020-02-06 11:50:00,2020-02-06 13:15:00
NIFTY,65,BUY,12114.25,12093.05,12079.367901824,12166.573147264,-21.200000000000728,-1378.0000000000473,EMA EXIT,2020-02-07 12:45:00,2020-02-07 13:20:00
NIFTY,65,BUY,12100.6,12109.3,12075.72488,12137.912680000001,8.699999999998909,565.4999999999291,TIME EXIT,2020-02-07 14:35:00,2020-02-07 15:10:00
NIFTY,65,BUY,12035.7,12016.2,12005.309203136001,12081.286195296001,-19.5,-1267.5,EMA EXIT,2020-02-10 12:05:00,2020-02-10 12:45:00
NIFTY,65,BUY,12136.5,12148.472717914938,12128.518188056709,12148.472717914938,11.972717914937675,778.2266644709489,WIN,2020-02-11 13:15:00,2020-02-11 13:45:00
NIFTY,65,BUY,12206.4,12216.65,12104.999679999999,12358.50048,10.25,666.25,MACD EXIT,2020-02-12 09:25:00,2020-02-12 10:45:00
NIFTY,65,BUY,12216.25,12204.25,12187.797999999999,12258.928000000002,-12.0,-780.0,MACD EXIT,2020-02-12 14:05:00,2020-02-12 14:55:00
NIFTY,65,BUY,12158.15,12141.9456784,12141.9456784,12182.4564824,-16.204321600000185,-1053.280904000012,LOSS,2020-02-13 13:00:00,2020-02-13 13:25:00
NIFTY,65,BUY,12158.75,12172.7,12140.680999999999,12185.853500000001,13.950000000000728,906.7500000000473,TIME EXIT,2020-02-13 14:20:00,2020-02-13 15:10:00
NIFTY,65,BUY,11932.8,11967.225959999998,11909.84936,11967.225959999998,34.42595999999867,2237.6873999999134,WIN,2020-02-18 14:10:00,2020-02-18 15:00:00
NIFTY,65,BUY,12095.65,12105.9,12069.583982870081,12134.749025694877,10.25,666.25,MACD EXIT,2020-02-19 12:30:00,2020-02-19 13:25:00
NIFTY,65,BUY,12117.15,12120.65,12096.642095069079,12147.91185739638,3.5,227.5,TIME EXIT,2020-02-19 14:55:00,2020-02-19 15:10:00
NIFTY,65,BUY,12125.85,12119.25,12097.1991488,12168.8262768,-6.600000000000364,-429.00000000002365,MACD EXIT,2020-02-20 10:30:00,2020-02-20 10:45:00
NIFTY,65,BUY,12124.95,12122.15,12105.888040141372,12153.542939787945,-2.8000000000010914,-182.00000000007094,MACD EXIT,2020-02-20 11:00:00,2020-02-20 11:10:00
NIFTY,65,BUY,12127.75,12150.247438956761,12112.751707362158,12150.247438956761,22.49743895676147,1462.3335321894956,WIN,2020-02-20 11:20:00,2020-02-20 11:45:00
NIFTY,65,BUY,12145.05,12141.0,12124.71263121415,12175.556053178774,-4.049999999999272,-263.2499999999527,MACD EXIT,2020-02-20 11:50:00,2020-02-20 12:45:00
NIFTY,65,BUY,11969.2,11953.66942195186,11953.66942195186,11992.495867072212,-15.530578048141251,-1009.4875731291813,LOSS,2020-02-24 11:55:00,2020-02-24 12:45:00
NIFTY,65,BUY,11851.0,11841.7,11815.535416330104,11904.196875504844,-9.299999999999272,-604.4999999999527,EMA EXIT,2020-02-25 11:50:00,2020-02-25 12:50:00
NIFTY,65,BUY,11725.95,11761.603871245106,11702.180752503264,11761.603871245106,35.65387124510562,2317.5016309318653,WIN,2020-02-26 12:25:00,2020-02-26 13:25:00
NIFTY,65,BUY,11757.45,11779.618248,11742.671168,11779.618248,22.16824799999995,1440.9361199999967,WIN,2020-02-26 13:30:00,2020-02-26 13:45:00
NIFTY,65,BUY,11582.65,11622.992291199998,11555.7551392,11622.992291199998,40.342291199998726,2622.248927999917,WIN,2020-02-27 12:40:00,2020-02-27 13:15:00
NIFTY,65,BUY,11623.0,11631.4,11575.5188288,11694.221756799998,8.399999999999636,545.9999999999764,TIME EXIT,2020-02-27 14:45:00,2020-02-27 15:10:00
NIFTY,65,BUY,11330.3,11352.1,11209.00409077376,11512.243863839358,21.80000000000109,1417.000000000071,MACD EXIT,2020-03-02 09:25:00,2020-03-02 10:25:00
NIFTY,65,BUY,11396.4,11359.542598443893,11359.542598443893,11451.686102334159,-36.8574015561062,-2395.731101146903,LOSS,2020-03-02 13:30:00,2020-03-02 14:20:00
NIFTY,65,BUY,11279.05,11276.35,11180.823,11426.390499999998,-2.6999999999989086,-175.49999999992906,MACD EXIT,2020-03-03 13:45:00,2020-03-03 15:10:00
NIFTY,65,BUY,11203.25,11246.15,11123.102068024607,11323.471897963089,42.899999999999636,2788.4999999999764,TIME EXIT,2020-03-04 14:55:00,2020-03-04 15:10:00
NIFTY,65,BUY,11284.75,11268.1,11249.471450123976,11337.667824814036,-16.649999999999636,-1082.2499999999764,MACD EXIT,2020-03-05 09:25:00,2020-03-05 10:00:00
NIFTY,65,BUY,11340.45,11360.65,11255.5028,11467.8708,20.19999999999891,1312.999999999929,MACD EXIT,2020-03-05 10:50:00,2020-03-05 11:55:00
NIFTY,65,BUY,10953.7,10966.7,10895.270819040854,11041.343771438722,13.0,845.0,MACD EXIT,2020-03-06 12:35:00,2020-03-06 14:20:00
NIFTY,65,BUY,11027.6,10981.5,10958.7,11130.95,-46.100000000000364,-2996.5000000000236,MACD EXIT,2020-03-06 14:55:00,2020-03-06 15:10:00
